RestaurantID,Name,Category,Type,VegStatus,Area,OpeningHours,Notes,SourceURL,Latitude,Longitude
B001,Lalbagh Botanical Garden,monument,garden,NA,Mavalli,6:00 AM - 7:00 PM (verify locally),"240-acre garden with ~1,854 plant species; commissioned by Hyder Ali, completed by Tipu Sultan",https://www.holidify.com/places/bangalore/sightseeing-and-things-to-do.html,12.9528478,77.5819643
B002,Cubbon Park,monument,park,NA,Sampangirama Nagar,Dawn to dusk (verify locally),"300-acre green belt with over 6,000 trees, designed by Richard Sankey",https://www.holidify.com/places/bangalore/sightseeing-and-things-to-do.html,12.9742535,77.5921906
B003,Bangalore Palace,monument,heritage,NA,Vasanth Nagar,10:00 AM - 5:30 PM (verify locally),Tudor-style palace built 1887 by Chamaraja Wadeyar,https://www.india-a2z.com/tourism-in-bangalore.html,12.9949848,77.5891324
B004,Bull Temple,monument,temple,NA,Basavanagudi,7:00 AM - 1:00 PM and 4:00 PM - 9:00 PM,"16th-century temple with giant monolithic Nandi bull, built by Kempe Gowda",http://www.world-guides.com/asia/india/karnataka/bangalore/bangalore_landmarks.html,12.9512003,77.5675732
B005,Vidhana Soudha,monument,government_building,NA,Cubbon Park area,Exterior viewing only (verify locally),Neo-Dravidian legislature building completed 1956,https://www.bangalorecitytour.com/sightseeing-places,,
B006,Tipu Sultan's Fort and Palace,monument,heritage,NA,KR Market,8:30 AM - 5:30 PM (verify locally),"Two-storey teakwood palace, now a museum",https://www.peek.com/bengaluru-karnataka-india/r0z3dy/bangalore-day-tour-visit-famous-sites-like-iskcon-temple-tipu-sultan-palace-and-lalbagh-garden/a04wkze,12.961253,77.5749819
B007,Jawaharlal Nehru Planetarium,monument,museum,NA,T. Chowdiah Road,Show timings vary (verify locally),Established 1989; hybrid projection system and sky theatre,https://bangaloretourism.in/places-to-visit-in-bangalore,12.9845478,77.5898598
B008,VV Puram Food Street,hidden_spot,food_street,NA,VV Puram,Evening onwards (verify locally),"Bustling street food hub, especially at night",https://www.agoda.com/travel-guides/india/bengaluru/discover-10-famous-things-in-bangalore-youll-love/,12.9531831,77.5761103
B009,Aviation Museum,hidden_spot,museum,NA,HAL area,Verify locally,Lesser-known museum showcasing aircraft and aviation memorabilia,https://www.agoda.com/travel-guides/india/bengaluru/discover-10-famous-things-in-bangalore-youll-love/,,
B010,Empire Restaurant,restaurant,multi_cuisine,non-veg,Multiple outlets (Bangalore institution),Late night hours (verify locally),"Known for shawarma rolls, coin parottas, and chicken kebabs",https://tandooriwala.com/blog/best-non-veg-restaurants-in-bangalore/,,
B011,Shivaji Military Hotel,restaurant,biryani,non-veg,Multiple outlets,Lunch and dinner (verify locally),Original donne (palm-leaf) biryani; decades-old institution,https://tandooriwala.com/blog/best-non-veg-restaurants-in-bangalore/,,
B012,Nandini Deluxe,restaurant,andhra_cuisine,non-veg,Various locations,Lunch and dinner (verify locally),Andhra-style spicy chicken curries and biryani,https://www.bohothebar.com/post/best-non-veg-restaurants-bangalore-guide,,
B013,Sankranti,restaurant,karnataka_cuisine,both,Local Bangalore lanes,Verify locally,Hidden-gem serving Karnataka regional dishes incl. Bisi Bele Bath and Neer Dosa,https://www.agoda.com/travel-guides/india/bengaluru/discover-10-hidden-gem-restaurants-in-bangalore/,,
B014,Biryani Zone,restaurant,mughlai,non-veg,Vijayanagar,Lunch and dinner (verify locally),"Rich, aromatic Mughlai-style biryanis",https://www.bohothebar.com/post/best-non-veg-restaurants-bangalore-guide,12.9709537,77.5373851
B015,RNR Biryani,restaurant,biryani,non-veg,Multiple outlets,Lunch and dinner (verify locally),Fragrant basmati biryani with marinated meats,https://www.bohothebar.com/post/best-non-veg-restaurants-bangalore-guide,,
