RestaurantID,Name,Category,Type,VegStatus,Area,OpeningHours,Notes,SourceURL,Latitude,Longitude
H001,Qutb Shahi Tombs,hidden_spot,heritage,NA,Golconda,9:30 AM - 5:00 PM (verify locally),Resting place of Qutb Shahi dynasty rulers; intricate domes,https://wanderon.in/blogs/hidden-gems-of-hyderabad,17.3873294,78.4057336
H002,Paigah Tombs,hidden_spot,heritage,NA,Santosh Nagar / Pisal Banda,10:00 AM - 5:00 PM; closed Fridays,Marble carvings and lattice work; tombs of Paigah nobility,https://wanderon.in/blogs/historical-places-in-hyderabad,,
H003,Spanish Mosque,hidden_spot,heritage,NA,Erragadda / Paigah area,Open during prayer times (verify locally),Also called Iqbal-ud-Dowlah Mosque; Spanish/Moorish architecture,https://trekgo.in/blog/hidden-gems-of-hyderabad,,
H004,Durgam Cheruvu (Secret Lake),hidden_spot,lake,NA,Jubilee Hills / Gachibowli,6:00 AM - 9:00 PM (verify locally),Known as the Secret Lake; cable bridge and boating,https://wanderon.in/blogs/hidden-gems-of-hyderabad,,
H005,KBR National Park,hidden_spot,park,NA,Jubilee Hills,5:30 AM - 9:30 AM and 3:30 PM - 6:30 PM (verify locally),Urban forest park; morning/evening entry hours only,https://trekgo.in/blog/hidden-gems-of-hyderabad,17.4202917,78.420463
H006,Mrugavani National Park,hidden_spot,park,NA,Chilkur,9:00 AM - 5:00 PM (verify locally),Wildlife park with nature trails on city outskirts,https://trekgo.in/blog/hidden-gems-of-hyderabad,17.4577733,78.3710193
H007,Shilparamam,hidden_spot,arts_and_crafts_village,NA,HITEC City / Madhapur,10:30 AM - 8:30 PM (verify locally),Arts and crafts village; artisan workshops and performances,https://www.agoda.com/travel-guides/india/hyderabad/discover-10-offbeat-places-to-explore-in-hyderabad/,17.4529378,78.3794936
H008,Ananthagiri Hills,hidden_spot,hill_station,NA,Vikarabad district (~90 km from city),Open daylight hours,Trekking and nature spot outside the city; weekend getaway,https://tripbros.in/blog/exploring-hidden-gems--offbeat-vacation-spots-recommended-by-hyderabad-travel-experts,,
H009,Shamirpet Lake,hidden_spot,lake,NA,Shamirpet,Daylight hours (verify locally),Calm lake and deer park area on city outskirts,https://wanderon.in/blogs/hidden-gems-of-hyderabad,17.6618453,78.6030577
M001,Charminar,monument,heritage,NA,Old City / Ghansi Bazaar,9:00 AM - 5:30 PM (verify locally),Most iconic monument; built 1591; ticketed entry to upper floor,https://wanderon.in/blogs/historical-places-in-hyderabad,,
M002,Golconda Fort,monument,heritage,NA,Ibrahim Bagh,9:00 AM - 5:30 PM; evening light show separate timing,Hilltop fort; former diamond trading center; sound and light show at night,https://yometro.com/travel-guide/list-of-monuments-in-hyderabad,17.3819639,78.3817498
M003,Chowmahalla Palace,monument,heritage,NA,Khilwat / Old City,10:00 AM - 5:00 PM; closed Fridays,Former Nizam residence with four palaces and courtyards,https://tourism.telangana.gov.in/customized-musuems-forts,,
M004,Salar Jung Museum,museum,museum,NA,Darul Shifa,10:00 AM - 5:00 PM; closed Fridays,One of the largest art museums globally; entry fee approx Rs 20 (Indian),https://www.thrillophilia.com/historical-places-in-hyderabad,17.3717823,78.4822609
M005,Mecca Masjid,monument,religious_site,NA,Near Charminar,Open outside prayer times (verify locally),One of India's oldest and largest mosques,https://wanderon.in/blogs/historical-places-in-hyderabad,,
M006,Falaknuma Palace,monument,heritage,NA,Falaknuma,Guided tours by appointment; now a Taj hotel,Nizam-era palace; now a luxury heritage hotel,https://www.thrillophilia.com/historical-places-in-hyderabad,17.3318413,78.4658488
M007,Purani Haveli (Nizam's Museum),museum,museum,NA,Purani Haveli,10:00 AM - 5:00 PM (verify locally),Preserves royal Nizam-era artifacts and memorabilia,https://tourism.telangana.gov.in/customized-musuems-forts,17.3663487,78.4805382
M008,Birla Mandir,monument,temple,NA,Naubath Pahad,7:00 AM - 12:00 PM and 3:00 PM - 9:00 PM (verify locally),Hilltop white-marble temple; scenic sunset views,https://www.expedia.com/es/Hyderabad-Secunderabad.dx6049990,,
M009,Birla Science Museum & Planetarium,museum,museum,NA,Naubath Pahad,10:30 AM - 8:00 PM (verify locally; show timings vary),Interactive science exhibits and planetarium shows,https://tourism.telangana.gov.in/customized-musuems-forts,,
M010,Hussain Sagar Lake,monument,lake,NA,City center (between Hyderabad & Secunderabad),Open daylight/evening hours,Iconic lake with Buddha statue; boating available,https://www.expedia.com/es/Hyderabad-Secunderabad.dx6049990,,
