POI_Name,Latitude,Longitude,Characteristics,Name,DestinationID
IIT Guwahati,26.20274,91.70037,"Education hub, technological innovation centre, academic excellence",IIT Guwahati,1
Sri Umananda Temple,26.19633,91.74516,"Religious pilgrimage site, scenic location on an island, spiritual significance",Sri Umananda Temple,2
Guwahati Ropeway,10.83030209,76.72011221,"Academic Institutions, Wildlife Sanctuaries, Eco-tourism",Guwahati Ropeway,3
Nehru Park,26.1885,91.74751,"Green space for recreation, walking trails, peaceful ambiance",Nehru Park,4
Pan Bazar,26.1827,91.74922,"Bustling market area, shopping destination, variety of goods available",Pan Bazar,5
Guwahati Planetorium,26.1914,91.75196,"Educational center for astronomy, interactive exhibits, star-gazing sessions",Guwahati Planetorium,6
SUKRESHWAR MANDIR,26.1941,91.73515,"Historic temple, cultural heritage site, religious festivals",SUKRESHWAR MANDIR,7
Umling,25.9826,91.86849,"Scenic spot, natural beauty, serene environment",Umling,8
NARANARAYAN SETU,26.21899,90.56011,"Iconic bridge, engineering marvel, connectivity enhancement",NARANARAYAN SETU,9
Girijananda Chowdhury University,26.13519,91.6252,"Education institution, academic programs, research facilities",Girijananda Chowdhury University,10
