RestaurantID,Name,Category,Type,VegStatus,Area,OpeningHours,Notes,SourceURL,Latitude,Longitude
C001,Rock Garden of Chandigarh,monument,art_garden,NA,Sector 1,9:00 AM - 6:00 PM (verify locally),"Sculpture garden made from industrial and urban waste, created by Nek Chand",https://www.mangogrovehotel.com/blogs/a-guide-to-the-rock-garden-of-chandigarh.html,30.7611554,76.8021541
C002,Sukhna Lake,monument,lake,NA,Sector 1,Open daylight hours,Reservoir stretching 3 km at the Shivalik foothills; rowing and yachting,https://www.makemytrip.com/tripideas/places-to-visit-in-chandigarh,30.7446553,76.8104866
C003,Zakir Hussain Rose Garden,monument,garden,NA,Sector 16,Open daylight hours,"30-acre garden with 1,600 species of plants and roses",https://www.makemytrip.com/tripideas/places-to-visit-in-chandigarh,30.7467597,76.7775249
C004,Capitol Complex,monument,heritage,NA,Sector 1,Guided visits (verify locally),UNESCO World Heritage site; Le Corbusier architecture,https://www.mangogrovehotel.com/blogs/a-guide-to-the-rock-garden-of-chandigarh.html,30.7611554,76.8021541
C005,Le Corbusier Centre,monument,museum,NA,Sector 19,Verify locally,Museum dedicated to architect Le Corbusier's work in Chandigarh,https://www.tripadvisor.in/RestaurantsNear-g297596-d1575668-The_Rock_Garden_of_Chandigarh-Chandigarh.html,30.7297999,76.7994591
C006,Pal Dhaba,restaurant,punjabi_dhaba,both,Mohali (M3-B2 Market),Verify locally,Renowned for butter chicken; also serves Chana Masala and Dal Makhani,https://wanderlog.com/list/geoCategory/1547687/best-non-veg-spots-in-chandigarh,,
C007,Barbeque Nation - Sector 26,restaurant,multi_cuisine,non-veg,"Sector 26, near Green Market Chowk",Verify locally,"Live-grill buffet chain; popular for prawns, chicken, mutton skewers",https://www.shoutlo.com/articles/non-veg-restaurants-in-chandigarh,,
C008,Nando's,restaurant,peri_peri,non-veg,"Elante Mall, Industrial Area Phase I",Verify locally,Afro-Portuguese peri-peri fire-barbecued chicken,https://www.shoutlo.com/articles/non-veg-restaurants-in-chandigarh,,
C009,Chawla Chicken,restaurant,punjabi,non-veg,Sector 22C,Since 1960; verify locally,Long-running non-veg institution,https://www.shoutlo.com/articles/non-veg-restaurants-in-chandigarh,30.7302606,76.7734754
C010,Deluxe Dhaba,restaurant,punjabi_dhaba,non-veg,Sector 28C,Verify locally,Family-style dhaba known for lemon chicken and curries,https://wanderlog.com/list/geoCategory/1547687/best-non-veg-spots-in-chandigarh,30.7143763,76.8009365
