POI_Name,Latitude,Longitude,Characteristics,Name,DestinationID
Subix Merry Land,10.7722434,76.63999634,"Amusement park, family entertainment, thrilling rides",Subix Merry Land,1
Palakkad Fort,10.76769019,76.65681915,"Historical landmark, architectural marvel, cultural heritage",Palakkad Fort,2
Kava view point,10.83030209,76.72011221,"Scenic vista, panoramic views, photography spot",Kava view point,3
Malampuzha,10.80411404,76.64374517,"Tourist destination, botanical garden, dam reservoir",Malampuzha,4
Chulanur Peafowl Sanctuary,10.71800319,76.4723798,"Wildlife sanctuary, birdwatching, conservation area",Chulanur Peafowl Sanctuary,5
Chendhamangalam Wetlands,10.80866665,76.6423996,"Ecological reserve, biodiversity hotspot, nature trails",Chendhamangalam Wetlands,6
Sree Chinmaya Guruvayurappan Temple,10.78792617,76.65338592,"Hindu temple, spiritual retreat, religious rituals",Sree Chinmaya Guruvayurappan Temple,7
VARADARAJA PERUMAL TEMPLE,11.03327,76.92348,"Hindu Temple, religious pilgrimage site, architectural beauty",VARADARAJA PERUMAL TEMPLE,8
SINGANALLUR LAKE,10.98905,77.02274,"Urban lake, boating, birdwatching, recreational activities",SINGANALLUR LAKE,9
CENTRAL LIBRARY,11.02799,77.02205,"Educational institution, research facility, knowledge repository",CENTRAL LIBRARY,10
IIT Palakkad,10.80416,76.72548,"educational institute, academic excellence, research opportunities",IIT Palakkad,11
Bharathiar University,11.04004,76.87897,"education institution, academic programs, research initiative",Bharathiar University,12
Government College,11.0173,76.93987,"Educational institution, diverse courses, student facilities",Government College,13
Perur Temple,10.97601,76.91531,"Hindu temple, religious festivals, cultural events",Perur Temple,14
Vadakanthara Sree Thirupuraikkal Bhagavathi Temple,10.78148,76.64358,"Hindu Temple, Devotional center, spiritual gatherings",Vadakanthara Sree Thirupuraikkal Bhagavathi Temple,15
